행정동,주택수,행정동코드,지역
신사동,4211,1162068500.0,서울특별시 관악구 신사동
신사동,4211,1168051000.0,서울특별시 강남구 신사동
신림동,4242,1162069500.0,서울특별시 관악구 신림동
난향동,4938,1162071500.0,서울특별시 관악구 난향동
조원동,4180,1162072500.0,서울특별시 관악구 조원동
대학동,4400,1162073500.0,서울특별시 관악구 대학동
은천동,10519,1162060500.0,서울특별시 관악구 은천동
성현동,10578,1162056500.0,서울특별시 관악구 성현동
청룡동,7921,1162059500.0,서울특별시 관악구 청룡동
난곡동,7659,1162077500.0,서울특별시 관악구 난곡동
삼성동,7833,1162074500.0,서울특별시 관악구 삼성동
미성동,8791,1162076500.0,서울특별시 금천구 미성동
미성동,8791,1162076500.0,서울특별시 관악구 미성동
서초1동,6735,1165051000.0,서울특별시 서초구 서초1동
서초2동,6901,1165052000.0,서울특별시 서초구 서초2동
서초3동,10040,1165053000.0,서울특별시 서초구 서초3동
서초4동,9224,1165053100.0,서울특별시 서초구 서초4동
잠원동,11494,1165054000.0,서울특별시 서초구 잠원동
반포본동,3662,1165055000.0,서울특별시 서초구 반포본동
반포1동,9429,1165056000.0,서울특별시 서초구 반포1동
반포2동,4702,1165057000.0,서울특별시 서초구 반포2동
반포3동,7183,1165058000.0,서울특별시 서초구 반포3동
반포4동,6192,1165058100.0,서울특별시 서초구 반포4동
방배본동,5743,1165059000.0,서울특별시 서초구 방배본동
방배1동,5539,1165060000.0,서울특별시 서초구 방배1동
방배2동,5306,1165061000.0,서울특별시 서초구 방배2동
방배3동,6828,1165062000.0,서울특별시 서초구 방배3동
방배4동,7712,1165062100.0,서울특별시 서초구 방배4동
양재1동,14561,1165065100.0,서울특별시 서초구 양재1동
양재2동,6842,1165065200.0,서울특별시 서초구 양재2동
내곡동,5435,1165066000.0,서울특별시 서초구 내곡동
신사동,4948,1162068500.0,서울특별시 관악구 신사동
신사동,4948,1168051000.0,서울특별시 강남구 신사동
논현1동,8113,1168052100.0,서울특별시 강남구 논현1동
논현2동,7132,1168053100.0,서울특별시 강남구 논현2동
삼성1동,4595,1168058000.0,서울특별시 강남구 삼성1동
삼성2동,10178,1168059000.0,서울특별시 강남구 삼성2동
대치1동,6935,1168060000.0,서울특별시 강남구 대치1동
대치4동,6564,1168063000.0,서울특별시 강남구 대치4동
역삼1동,11995,1168064000.0,서울특별시 강남구 역삼1동
역삼2동,11862,1168065000.0,서울특별시 강남구 역삼2동
도곡1동,6840,1168065500.0,서울특별시 강남구 도곡1동
도곡2동,10213,1168065600.0,서울특별시 강남구 도곡2동
개포1동,1608,1168066000.0,서울특별시 강남구 개포1동
개포4동,7409,1168069000.0,서울특별시 강남구 개포4동
일원본동,7280,1168072000.0,서울특별시 강남구 일원본동
일원1동,4792,1168073000.0,서울특별시 강남구 일원1동
일원2동,6680,1168074000.0,서울특별시 강남구 일원2동
수서동,7246,1168075000.0,서울특별시 강남구 수서동
세곡동,12596,1168070000.0,서울특별시 강남구 세곡동
압구정동,8856,1168054500.0,서울특별시 강남구 압구정동
청담동,9731,1168056500.0,서울특별시 강남구 청담동
대치2동,11109,1168061000.0,서울특별시 강남구 대치2동
개포2동,7063,1168067000.0,서울특별시 강남구 개포2동
풍납1동,3296,1171051000.0,서울특별시 송파구 풍납1동
풍납2동,7608,1171052000.0,서울특별시 송파구 풍납2동
풍납2동,7608,1171052000.0,서울특별시 강동구 풍납2동
거여1동,3552,1171053100.0,서울특별시 송파구 거여1동
거여2동,5382,1171053200.0,서울특별시 송파구 거여2동
마천1동,5299,1171054000.0,서울특별시 송파구 마천1동
마천2동,5354,1171055000.0,서울특별시 송파구 마천2동
방이1동,4921,1171056100.0,서울특별시 송파구 방이1동
방이2동,8214,1171056200.0,서울특별시 송파구 방이2동
오륜동,5543,1171056600.0,서울특별시 송파구 오륜동
오금동,12963,1171057000.0,서울특별시 송파구 오금동
송파1동,9335,1171058000.0,서울특별시 송파구 송파1동
송파2동,6583,1171059000.0,서울특별시 송파구 송파2동
석촌동,12091,1171060000.0,서울특별시 송파구 석촌동
삼전동,11497,1171061000.0,서울특별시 송파구 삼전동
가락본동,8410,1171062000.0,서울특별시 송파구 가락본동
가락1동,9716,1171063100.0,서울특별시 송파구 가락1동
가락2동,10424,1171063200.0,서울특별시 송파구 가락2동
문정1동,6783,1171064100.0,서울특별시 송파구 문정1동
문정2동,5607,1171064200.0,서울특별시 송파구 문정2동
잠실본동,9583,1171065000.0,서울특별시 송파구 잠실본동
잠실4동,6866,1171069000.0,서울특별시 송파구 잠실4동
잠실6동,5372,1171071000.0,서울특별시 송파구 잠실6동
잠실7동,3198,1171072000.0,서울특별시 송파구 잠실7동
잠실2동,11241,1171067000.0,서울특별시 송파구 잠실2동
잠실3동,11046,1171068000.0,서울특별시 송파구 잠실3동
장지동,11732,1171064600.0,서울특별시 송파구 장지동
위례동,9962,1171064700.0,서울특별시 송파구 위례동
강일동,11745,1174051500.0,서울특별시 강동구 강일동
상일동,10472,1174052000.0,서울특별시 강동구 상일동
명일1동,8248,,
명일2동,4629,,
고덕1동,7536,,
고덕2동,6605,,
암사2동,5214,,
암사3동,5583,,
천호1동,8035,,
천호3동,7964,,
성내1동,6767,,
성내2동,6199,,
성내3동,6685,,
둔촌1동,5,,
둔촌2동,7962,,
암사1동,10089,,
천호2동,9362,,
길동,14776,1174068500.0,서울특별시 강동구 길동
