id,left,top,right,bottom,row_index,col_index
3943,211189.761599999997998,547863.541699999943376,211689.761599999997998,547363.541699999943376,38,64
3940,211189.761599999997998,549363.541699999943376,211689.761599999997998,548863.541699999943376,35,64
3941,211189.761599999997998,548863.541699999943376,211689.761599999997998,548363.541699999943376,36,64
3938,211189.761599999997998,550363.541699999943376,211689.761599999997998,549863.541699999943376,33,64
3939,211189.761599999997998,549863.541699999943376,211689.761599999997998,549363.541699999943376,34,64
3936,211189.761599999997998,551363.541699999943376,211689.761599999997998,550863.541699999943376,31,64
3937,211189.761599999997998,550863.541699999943376,211689.761599999997998,550363.541699999943376,32,64
3934,211189.761599999997998,552363.541699999943376,211689.761599999997998,551863.541699999943376,29,64
3935,211189.761599999997998,551863.541699999943376,211689.761599999997998,551363.541699999943376,30,64
4016,211689.761599999997998,541863.541699999943376,212189.761599999997998,541363.541699999943376,50,65
4017,211689.761599999997998,541363.541699999943376,212189.761599999997998,540863.541699999943376,51,65
4014,211689.761599999997998,542863.541699999943376,212189.761599999997998,542363.541699999943376,48,65
4015,211689.761599999997998,542363.541699999943376,212189.761599999997998,541863.541699999943376,49,65
4012,211689.761599999997998,543863.541699999943376,212189.761599999997998,543363.541699999943376,46,65
4013,211689.761599999997998,543363.541699999943376,212189.761599999997998,542863.541699999943376,47,65
4010,211689.761599999997998,544863.541699999943376,212189.761599999997998,544363.541699999943376,44,65
4011,211689.761599999997998,544363.541699999943376,212189.761599999997998,543863.541699999943376,45,65
4008,211689.761599999997998,545863.541699999943376,212189.761599999997998,545363.541699999943376,42,65
4009,211689.761599999997998,545363.541699999943376,212189.761599999997998,544863.541699999943376,43,65
4006,211689.761599999997998,546863.541699999943376,212189.761599999997998,546363.541699999943376,40,65
4007,211689.761599999997998,546363.541699999943376,212189.761599999997998,545863.541699999943376,41,65
4004,211689.761599999997998,547863.541699999943376,212189.761599999997998,547363.541699999943376,38,65
4005,211689.761599999997998,547363.541699999943376,212189.761599999997998,546863.541699999943376,39,65
4002,211689.761599999997998,548863.541699999943376,212189.761599999997998,548363.541699999943376,36,65
4003,211689.761599999997998,548363.541699999943376,212189.761599999997998,547863.541699999943376,37,65
4000,211689.761599999997998,549863.541699999943376,212189.761599999997998,549363.541699999943376,34,65
4001,211689.761599999997998,549363.541699999943376,212189.761599999997998,548863.541699999943376,35,65
3998,211689.761599999997998,550863.541699999943376,212189.761599999997998,550363.541699999943376,32,65
3999,211689.761599999997998,550363.541699999943376,212189.761599999997998,549863.541699999943376,33,65
3996,211689.761599999997998,551863.541699999943376,212189.761599999997998,551363.541699999943376,30,65
3997,211689.761599999997998,551363.541699999943376,212189.761599999997998,550863.541699999943376,31,65
3995,211689.761599999997998,552363.541699999943376,212189.761599999997998,551863.541699999943376,29,65
4076,212189.761599999997998,542363.541699999943376,212689.761599999997998,541863.541699999943376,49,66
4077,212189.761599999997998,541863.541699999943376,212689.761599999997998,541363.541699999943376,50,66
4074,212189.761599999997998,543363.541699999943376,212689.761599999997998,542863.541699999943376,47,66
4075,212189.761599999997998,542863.541699999943376,212689.761599999997998,542363.541699999943376,48,66
4072,212189.761599999997998,544363.541699999943376,212689.761599999997998,543863.541699999943376,45,66
4073,212189.761599999997998,543863.541699999943376,212689.761599999997998,543363.541699999943376,46,66
4070,212189.761599999997998,545363.541699999943376,212689.761599999997998,544863.541699999943376,43,66
4071,212189.761599999997998,544863.541699999943376,212689.761599999997998,544363.541699999943376,44,66
4068,212189.761599999997998,546363.541699999943376,212689.761599999997998,545863.541699999943376,41,66
4069,212189.761599999997998,545863.541699999943376,212689.761599999997998,545363.541699999943376,42,66
4066,212189.761599999997998,547363.541699999943376,212689.761599999997998,546863.541699999943376,39,66
4067,212189.761599999997998,546863.541699999943376,212689.761599999997998,546363.541699999943376,40,66
4064,212189.761599999997998,548363.541699999943376,212689.761599999997998,547863.541699999943376,37,66
4065,212189.761599999997998,547863.541699999943376,212689.761599999997998,547363.541699999943376,38,66
4062,212189.761599999997998,549363.541699999943376,212689.761599999997998,548863.541699999943376,35,66
4063,212189.761599999997998,548863.541699999943376,212689.761599999997998,548363.541699999943376,36,66
4060,212189.761599999997998,550363.541699999943376,212689.761599999997998,549863.541699999943376,33,66
4061,212189.761599999997998,549863.541699999943376,212689.761599999997998,549363.541699999943376,34,66
4058,212189.761599999997998,551363.541699999943376,212689.761599999997998,550863.541699999943376,31,66
4059,212189.761599999997998,550863.541699999943376,212689.761599999997998,550363.541699999943376,32,66
4056,212189.761599999997998,552363.541699999943376,212689.761599999997998,551863.541699999943376,29,66
4057,212189.761599999997998,551863.541699999943376,212689.761599999997998,551363.541699999943376,30,66
3134,204689.761599999997998,555863.541699999943376,205189.761599999997998,555363.541699999943376,22,51
3135,204689.761599999997998,555363.541699999943376,205189.761599999997998,554863.541699999943376,23,51
3132,204689.761599999997998,556863.541699999943376,205189.761599999997998,556363.541699999943376,20,51
3133,204689.761599999997998,556363.541699999943376,205189.761599999997998,555863.541699999943376,21,51
3130,204689.761599999997998,557863.541699999943376,205189.761599999997998,557363.541699999943376,18,51
3131,204689.761599999997998,557363.541699999943376,205189.761599999997998,556863.541699999943376,19,51
3128,204689.761599999997998,558863.541699999943376,205189.761599999997998,558363.541699999943376,16,51
3129,204689.761599999997998,558363.541699999943376,205189.761599999997998,557863.541699999943376,17,51
3126,204689.761599999997998,559863.541699999943376,205189.761599999997998,559363.541699999943376,14,51
3127,204689.761599999997998,559363.541699999943376,205189.761599999997998,558863.541699999943376,15,51
3124,204689.761599999997998,560863.541699999943376,205189.761599999997998,560363.541699999943376,12,51
3125,204689.761599999997998,560363.541699999943376,205189.761599999997998,559863.541699999943376,13,51
3122,204689.761599999997998,561863.541699999943376,205189.761599999997998,561363.541699999943376,10,51
3123,204689.761599999997998,561363.541699999943376,205189.761599999997998,560863.541699999943376,11,51
3120,204689.761599999997998,562863.541699999943376,205189.761599999997998,562363.541699999943376,8,51
3121,204689.761599999997998,562363.541699999943376,205189.761599999997998,561863.541699999943376,9,51
3118,204689.761599999997998,563863.541699999943376,205189.761599999997998,563363.541699999943376,6,51
3119,204689.761599999997998,563363.541699999943376,205189.761599999997998,562863.541699999943376,7,51
3116,204689.761599999997998,564863.541699999943376,205189.761599999997998,564363.541699999943376,4,51
3117,204689.761599999997998,564363.541699999943376,205189.761599999997998,563863.541699999943376,5,51
3114,204689.761599999997998,565863.541699999943376,205189.761599999997998,565363.541699999943376,2,51
3115,204689.761599999997998,565363.541699999943376,205189.761599999997998,564863.541699999943376,3,51
3110,204189.761599999997998,537363.541699999943376,204689.761599999997998,536863.541699999943376,59,50
3111,204189.761599999997998,536863.541699999943376,204689.761599999997998,536363.541699999943376,60,50
3108,204189.761599999997998,538363.541699999943376,204689.761599999997998,537863.541699999943376,57,50
3109,204189.761599999997998,537863.541699999943376,204689.761599999997998,537363.541699999943376,58,50
3106,204189.761599999997998,539363.541699999943376,204689.761599999997998,538863.541699999943376,55,50
3107,204189.761599999997998,538863.541699999943376,204689.761599999997998,538363.541699999943376,56,50
3104,204189.761599999997998,540363.541699999943376,204689.761599999997998,539863.541699999943376,53,50
3105,204189.761599999997998,539863.541699999943376,204689.761599999997998,539363.541699999943376,54,50
3102,204189.761599999997998,541363.541699999943376,204689.761599999997998,540863.541699999943376,51,50
3103,204189.761599999997998,540863.541699999943376,204689.761599999997998,540363.541699999943376,52,50
3100,204189.761599999997998,542363.541699999943376,204689.761599999997998,541863.541699999943376,49,50
3101,204189.761599999997998,541863.541699999943376,204689.761599999997998,541363.541699999943376,50,50
3098,204189.761599999997998,543363.541699999943376,204689.761599999997998,542863.541699999943376,47,50
3099,204189.761599999997998,542863.541699999943376,204689.761599999997998,542363.541699999943376,48,50
3096,204189.761599999997998,544363.541699999943376,204689.761599999997998,543863.541699999943376,45,50
3097,204189.761599999997998,543863.541699999943376,204689.761599999997998,543363.541699999943376,46,50
3094,204189.761599999997998,545363.541699999943376,204689.761599999997998,544863.541699999943376,43,50
3095,204189.761599999997998,544863.541699999943376,204689.761599999997998,544363.541699999943376,44,50
3092,204189.761599999997998,546363.541699999943376,204689.761599999997998,545863.541699999943376,41,50
3093,204189.761599999997998,545863.541699999943376,204689.761599999997998,545363.541699999943376,42,50
3090,204189.761599999997998,547363.541699999943376,204689.761599999997998,546863.541699999943376,39,50
3091,204189.761599999997998,546863.541699999943376,204689.761599999997998,546363.541699999943376,40,50
3088,204189.761599999997998,548363.541699999943376,204689.761599999997998,547863.541699999943376,37,50
3089,204189.761599999997998,547863.541699999943376,204689.761599999997998,547363.541699999943376,38,50
3086,204189.761599999997998,549363.541699999943376,204689.761599999997998,548863.541699999943376,35,50
3087,204189.761599999997998,548863.541699999943376,204689.761599999997998,548363.541699999943376,36,50
3084,204189.761599999997998,550363.541699999943376,204689.761599999997998,549863.541699999943376,33,50
3085,204189.761599999997998,549863.541699999943376,204689.761599999997998,549363.541699999943376,34,50
3082,204189.761599999997998,551363.541699999943376,204689.761599999997998,550863.541699999943376,31,50
3083,204189.761599999997998,550863.541699999943376,204689.761599999997998,550363.541699999943376,32,50
3080,204189.761599999997998,552363.541699999943376,204689.761599999997998,551863.541699999943376,29,50
3081,204189.761599999997998,551863.541699999943376,204689.761599999997998,551363.541699999943376,30,50
3078,204189.761599999997998,553363.541699999943376,204689.761599999997998,552863.541699999943376,27,50
3079,204189.761599999997998,552863.541699999943376,204689.761599999997998,552363.541699999943376,28,50
3076,204189.761599999997998,554363.541699999943376,204689.761599999997998,553863.541699999943376,25,50
3077,204189.761599999997998,553863.541699999943376,204689.761599999997998,553363.541699999943376,26,50
3074,204189.761599999997998,555363.541699999943376,204689.761599999997998,554863.541699999943376,23,50
3075,204189.761599999997998,554863.541699999943376,204689.761599999997998,554363.541699999943376,24,50
3072,204189.761599999997998,556363.541699999943376,204689.761599999997998,555863.541699999943376,21,50
3073,204189.761599999997998,555863.541699999943376,204689.761599999997998,555363.541699999943376,22,50
3198,205189.761599999997998,554363.541699999943376,205689.761599999997998,553863.541699999943376,25,52
3199,205189.761599999997998,553863.541699999943376,205689.761599999997998,553363.541699999943376,26,52
3196,205189.761599999997998,555363.541699999943376,205689.761599999997998,554863.541699999943376,23,52
3197,205189.761599999997998,554863.541699999943376,205689.761599999997998,554363.541699999943376,24,52
3194,205189.761599999997998,556363.541699999943376,205689.761599999997998,555863.541699999943376,21,52
3195,205189.761599999997998,555863.541699999943376,205689.761599999997998,555363.541699999943376,22,52
3192,205189.761599999997998,557363.541699999943376,205689.761599999997998,556863.541699999943376,19,52
3193,205189.761599999997998,556863.541699999943376,205689.761599999997998,556363.541699999943376,20,52
3190,205189.761599999997998,558363.541699999943376,205689.761599999997998,557863.541699999943376,17,52
3191,205189.761599999997998,557863.541699999943376,205689.761599999997998,557363.541699999943376,18,52
3188,205189.761599999997998,559363.541699999943376,205689.761599999997998,558863.541699999943376,15,52
3189,205189.761599999997998,558863.541699999943376,205689.761599999997998,558363.541699999943376,16,52
3186,205189.761599999997998,560363.541699999943376,205689.761599999997998,559863.541699999943376,13,52
3187,205189.761599999997998,559863.541699999943376,205689.761599999997998,559363.541699999943376,14,52
3184,205189.761599999997998,561363.541699999943376,205689.761599999997998,560863.541699999943376,11,52
3185,205189.761599999997998,560863.541699999943376,205689.761599999997998,560363.541699999943376,12,52
3182,205189.761599999997998,562363.541699999943376,205689.761599999997998,561863.541699999943376,9,52
3183,205189.761599999997998,561863.541699999943376,205689.761599999997998,561363.541699999943376,10,52
