field_1,EMD_CD,EMD_ENG_NM,EMD_KOR_NM,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,SubwayStationCount
187,11170127,Yongsan-dong 5(o)-ga,용산동5가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,2
188,11170128,Hangangno 3(sam)-ga,한강로3가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,1
189,11170129,Ichon-dong,이촌동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0
190,11170130,Itaewon-dong,이태원동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,1
191,11170131,Hannam-dong,한남동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,2
192,11170132,Dongbinggo-dong,동빙고동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0
193,11170133,Seobinggo-dong,서빙고동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,1
194,11170134,Juseong-dong,주성동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0
195,11170135,Yongsan-dong 6(yuk)-ga,용산동6가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0
196,11170136,Bogwang-dong,보광동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0
197,11200101,Sangwangsimni-dong,상왕십리동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,0
198,11200102,Hawangsimni-dong,하왕십리동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,1
199,11200103,Hongik-dong,홍익동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,0
200,11200104,Doseon-dong,도선동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,0
201,11200105,Majang-dong,마장동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,1
202,11200106,Sageun-dong,사근동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,1
203,11200107,Haengdang-dong,행당동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,5
204,11200108,Eungbong-dong,응봉동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,1
205,11200109,Geumho-dong1(il)-ga,금호동1가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,1
206,11200110,Geumho-dong2(i)-ga,금호동2가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,0
207,11200111,Geumho-dong3(sam)-ga,금호동3가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,0
208,11200112,Geumho-dong4(sa)-ga,금호동4가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,1
209,11200113,Oksu-dong,옥수동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,2
210,11200114,Seongsu-dong1(il)-ga,성수동1가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,2
211,11200115,Seongsu-dong2(i)-ga,성수동2가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,1
212,11200118,Songjeong-dong,송정동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,0
213,11200122,Yongdap-dong,용답동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,3
214,11215101,Junggok-dong,중곡동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,1
215,11215102,Neung-dong,능동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,3
216,11215103,Guui-dong,구의동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,2
217,11215104,Gwangjang-dong,광장동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,1
218,11215105,Jayang-dong,자양동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,3
219,11215107,Hwayang-dong,화양동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,1
220,11215109,Gunja-dong,군자동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,0
221,11230101,Sinseol-dong,신설동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,3
222,11230102,Yongdu-dong,용두동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,2
223,11230103,Jegi-dong,제기동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,1
224,11230104,Jeonnong-dong,전농동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,2
225,11230105,Dapsipni-dong,답십리동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,0
226,11230106,Jangan-dong,장안동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,0
227,11230107,Cheongnyangni-dong,청량리동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,0
228,11230108,Hoegi-dong,회기동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,0
