fid,BASE_DATE,ADM_CD,SIGNGU_CD,SIGNGU_NM,NUMPOINTS
100,20230701,11110520,11320,도봉구,0
101,20230701,11110520,11350,노원구,0
102,20230701,11080620,11290,성북구,0
103,20230701,11010570,11110,종로구,0
104,20230701,11010570,11410,서대문구,0
105,20230701,11010630,11110,종로구,0
106,20230701,11010630,11140,중구,0
107,20230701,11010640,11110,종로구,0
108,20230701,11010640,11290,성북구,0
109,20230701,11010670,11110,종로구,0
110,20230701,11010670,11140,중구,0
111,20230701,11010680,11110,종로구,0
112,20230701,11020600,11110,종로구,0
113,20230701,11020600,11140,중구,0
114,20230701,11120680,11380,은평구,0
115,20230701,11120680,11410,서대문구,0
116,20230701,11120680,11440,마포구,0
117,20230701,11120710,11110,종로구,0
118,20230701,11120710,11380,은평구,0
119,20230701,11120720,11380,은평구,0
120,20230701,11120730,11380,은평구,0
121,20230701,11120730,11410,서대문구,0
122,20230701,11130520,11110,종로구,0
123,20230701,11130520,11410,서대문구,0
124,20230701,11110590,11350,노원구,0
125,20230701,11130680,11380,은평구,0
126,20230701,11130680,11410,서대문구,0
127,20230701,11130690,11410,서대문구,0
128,20230701,11130690,11440,마포구,0
129,20230701,11140610,11440,마포구,0
130,20230701,11140710,11410,서대문구,0
131,20230701,11140710,11440,마포구,0
132,20230701,11140720,11440,마포구,0
133,20230701,11110720,11320,도봉구,0
134,20230701,11110720,11350,노원구,0
135,20230701,11110760,11350,노원구,2
136,20230701,11150660,11470,양천구,1
137,20230701,11150660,11530,구로구,0
138,20230701,11230530,11680,강남구,0
139,20230701,11160640,11500,강서구,0
140,20230701,11160670,11470,양천구,0
141,20230701,11160670,11500,강서구,1
142,20230701,11160690,11500,강서구,2
143,20230701,11160700,11500,강서구,0
144,20230701,11160710,11500,강서구,0
145,20230701,11160720,11500,강서구,0
146,20230701,11230600,11680,강남구,0
147,20230701,11170510,11470,양천구,0
148,20230701,11170510,11530,구로구,0
149,20230701,11170510,11560,영등포구,0
150,20230701,11170520,11530,구로구,0
151,20230701,11170520,11545,금천구,0
152,20230701,11170540,11530,구로구,0
153,20230701,11170540,11545,금천구,0
154,20230701,11170540,11560,영등포구,0
155,20230701,11170540,11620,관악구,0
156,20230701,11170550,11530,구로구,0
157,20230701,11170550,11560,영등포구,0
158,20230701,11170610,11470,양천구,0
159,20230701,11170610,11530,구로구,0
160,20230701,11170620,11470,양천구,0
161,20230701,11170620,11530,구로구,0
162,20230701,11180570,11545,금천구,0
163,20230701,11130720,11380,은평구,0
164,20230701,11130720,11410,서대문구,1
165,20230701,11130730,11140,중구,0
166,20230701,11130730,11410,서대문구,0
167,20230701,11130730,11440,마포구,0
168,20230701,11130740,11410,서대문구,0
169,20230701,11130740,11440,마포구,0
170,20230701,11130750,11410,서대문구,0
171,20230701,11130750,11440,마포구,0
172,20230701,11180610,11545,금천구,0
173,20230701,11150540,11470,양천구,0
174,20230701,11150540,11500,강서구,0
175,20230701,11190560,11440,마포구,0
176,20230701,11190560,11560,영등포구,2
177,20230701,11190610,11470,양천구,0
178,20230701,11190610,11560,영등포구,1
179,20230701,11190620,11440,마포구,0
180,20230701,11190620,11470,양천구,0
181,20230701,11190620,11500,강서구,0
182,20230701,11190620,11560,영등포구,0
183,20230701,11190630,11560,영등포구,1
184,20230701,11190680,11560,영등포구,0
185,20230701,11190680,11590,동작구,0
186,20230701,11190690,11560,영등포구,0
187,20230701,11190690,11590,동작구,0
188,20230701,11140700,11440,마포구,1
189,20230701,11190720,11530,구로구,0
190,20230701,11190720,11560,영등포구,0
191,20230701,11190730,11560,영등포구,0
192,20230701,11190740,11560,영등포구,1
193,20230701,11190750,11560,영등포구,0
194,20230701,11190760,11470,양천구,0
195,20230701,11190760,11530,구로구,0
196,20230701,11190760,11560,영등포구,1
197,20230701,11200520,11590,동작구,2
198,20230701,11200530,11590,동작구,0
199,20230701,11200530,11620,관악구,0
200,20230701,11200540,11590,동작구,0
201,20230701,11200550,11590,동작구,0
202,20230701,11200550,11620,관악구,0
203,20230701,11200560,11590,동작구,0
204,20230701,11200560,11620,관악구,0
205,20230701,11200680,11560,영등포구,0
206,20230701,11200680,11590,동작구,0
207,20230701,11200700,11560,영등포구,0
