시,구,행정동,주택수
서울시,동작구,사당2동,8341
서울시,관악구,소계,127568
서울시,관악구,보라매동,6221
서울시,관악구,청림동,5263
서울시,관악구,행운동,7088
서울시,관악구,낙성대동,3543
서울시,관악구,중앙동,3591
서울시,관악구,인헌동,6849
서울시,관악구,남현동,5277
서울시,관악구,서원동,5454
서울시,관악구,신원동,3858
서울시,관악구,서림동,5152
서울시,관악구,신사동,4211
서울시,관악구,신림동,4242
서울시,관악구,난향동,4938
서울시,관악구,조원동,4180
서울시,관악구,대학동,4400
서울시,관악구,은천동,10519
서울시,관악구,성현동,10578
서울시,관악구,청룡동,7921
서울시,관악구,난곡동,7659
서울시,관악구,삼성동,7833
서울시,관악구,미성동,8791
서울시,서초구,소계,133528
서울시,서초구,서초1동,6735
서울시,서초구,서초2동,6901
서울시,서초구,서초3동,10040
서울시,서초구,서초4동,9224
서울시,서초구,잠원동,11494
서울시,서초구,반포본동,3662
서울시,서초구,반포1동,9429
서울시,서초구,반포2동,4702
서울시,서초구,반포3동,7183
서울시,서초구,반포4동,6192
서울시,서초구,방배본동,5743
서울시,서초구,방배1동,5539
서울시,서초구,방배2동,5306
서울시,서초구,방배3동,6828
서울시,서초구,방배4동,7712
서울시,서초구,양재1동,14561
서울시,서초구,양재2동,6842
서울시,서초구,내곡동,5435
서울시,강남구,소계,173745
서울시,강남구,신사동,4948
서울시,강남구,논현1동,8113
서울시,강남구,논현2동,7132
서울시,강남구,삼성1동,4595
서울시,강남구,삼성2동,10178
서울시,강남구,대치1동,6935
서울시,강남구,대치4동,6564
서울시,강남구,역삼1동,11995
서울시,강남구,역삼2동,11862
서울시,강남구,도곡1동,6840
서울시,강남구,도곡2동,10213
서울시,강남구,개포1동,1608
서울시,강남구,개포4동,7409
서울시,강남구,일원본동,7280
서울시,강남구,일원1동,4792
서울시,강남구,일원2동,6680
서울시,강남구,수서동,7246
서울시,강남구,세곡동,12596
서울시,강남구,압구정동,8856
서울시,강남구,청담동,9731
서울시,강남구,대치2동,11109
서울시,강남구,개포2동,7063
서울시,송파구,소계,211578
서울시,송파구,풍납1동,3296
서울시,송파구,풍납2동,7608
서울시,송파구,거여1동,3552
서울시,송파구,거여2동,5382
서울시,송파구,마천1동,5299
서울시,송파구,마천2동,5354
서울시,송파구,방이1동,4921
서울시,송파구,방이2동,8214
서울시,송파구,오륜동,5543
서울시,송파구,오금동,12963
서울시,송파구,송파1동,9335
서울시,송파구,송파2동,6583
서울시,송파구,석촌동,12091
서울시,송파구,삼전동,11497
서울시,송파구,가락본동,8410
서울시,송파구,가락1동,9716
서울시,송파구,가락2동,10424
서울시,송파구,문정1동,6783
서울시,송파구,문정2동,5607
서울시,송파구,잠실본동,9583
서울시,송파구,잠실4동,6866
서울시,송파구,잠실6동,5372
서울시,송파구,잠실7동,3198
서울시,송파구,잠실2동,11241
서울시,송파구,잠실3동,11046
서울시,송파구,장지동,11732
서울시,송파구,위례동,9962
서울시,강동구,소계,137876
서울시,강동구,강일동,11745
서울시,강동구,상일동,10472
서울시,강동구,명일1동,8248
서울시,강동구,명일2동,4629
서울시,강동구,고덕1동,7536
서울시,강동구,고덕2동,6605
