기준_년분기_코드,행정동_코드,행정동_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수
20233,11680510,신사동,27942,16647,11295
20233,11710642,문정2동,41453,26054,15399
20233,11710610,삼전동,7762,5230,2532
20233,11710600,석촌동,8870,5856,3014
20233,11710590,송파2동,14196,8974,5222
20233,11740560,고덕2동,1985,1260,725
20233,11740650,성내2동,2304,1410,894
20233,11740580,암사2동,2638,964,1674
20233,11110580,교남동,847,498,349
20233,11110550,부암동,4115,2286,1829
20233,11110700,숭인1동,460,210,250
20233,11110710,숭인2동,1942,998,944
20233,11110515,청운효자동,10628,6827,3801
20233,11140625,다산동,6567,4125,2442
20233,11140520,소공동,77533,41196,36337
20233,11140615,신당동,3199,1726,1473
20233,11140580,장충동,10396,5498,4898
20233,11170660,이태원2동,1258,696,562
20233,11200660,성수1가2동,6301,4314,1987
20233,11215730,군자동,2363,1289,1074
20233,11215820,자양1동,12355,9722,2633
20233,11215750,중곡2동,2814,1604,1210
20233,11230600,답십리1동,6333,3031,3302
20233,11260520,면목2동,1492,821,671
20233,11290575,동선동,2511,1246,1265
20233,11305534,삼양동,1087,628,459
20233,11305635,수유3동,3385,1724,1661
20233,11320700,방학2동,1017,474,543
20233,11320681,쌍문4동,1365,711,654
20233,11320512,창2동,2466,1391,1075
20233,11320514,창4동,2724,1708,1016
20233,11350619,중계본동,1798,881,917
20233,11380520,불광1동,3646,1607,2039
20233,11470530,목3동,2504,1376,1128
20233,11470560,신월1동,2247,1444,803
20233,11470620,신정1동,11571,6760,4811
20233,11470650,신정4동,7226,3988,3238
20233,11500611,발산1동,3230,1862,1368
20233,11500593,화곡8동,2037,1114,923
20233,11530790,수궁동,3693,2490,1203
20233,11530510,신도림동,13037,8565,4472
20233,11530780,오류2동,2785,1685,1100
20233,11545690,시흥3동,7990,4735,3255
20233,11545700,시흥4동,1558,936,622
20233,11545710,시흥5동,1721,1012,709
20233,11560700,대림1동,2425,937,1488
20233,11560610,양평1동,12821,7428,5393
20233,11590650,사당4동,1399,726,673
20233,11590651,사당5동,1931,1038,893
20233,11620745,삼성동,1795,991,804
20233,11620565,성현동,7335,2785,4550
20233,11650660,내곡동,14211,9232,4979
20233,11650560,반포1동,7332,4498,2834
20233,11650580,반포3동,8637,4815,3822
20233,11680521,논현1동,41576,24313,17263
20233,11680600,대치1동,20053,10683,9370
