대중교통,자전거도로수용율,평균경사도,인구,추정교통량,안정성지수평균,자전거이용량,cluster
34,0.024743051262707327,3.333333333333333,577373.1836341667,6296.0,0.878504673,102514,0
27,0.03520780852828511,0.6666666666666666,534368.0408970834,11832.0,0.89010989,91642,0
83,0.06639565100338697,11.666666666666666,1000120.9262266665,21624.0,0.464765101,634438,3
50,0.10597821427392554,3.0,734946.8853670834,10687.0,0.574162679,308872,3
57,0.002025413825466746,17.0,651929.4453716666,16919.0,0.54245283,148368,3
12,0.01726821650534096,10.0,381406.05642166664,17515.0,2.421052632,108850,2
72,0.08815315666870074,11.0,683831.22882625,9653.0,0.516129032,350506,3
76,0.030445604440493546,6.0,701970.2301525,60017.0,0.82781457,114418,0
59,0.05859930121262212,18.666666666666668,1819889.8777004166,21537.0,0.361151079,244550,3
101,0.055458297995870445,18.0,1377846.5227116668,34405.0,0.940983607,274812,0
48,0.08773655865404666,6.333333333333333,774980.8953254166,17660.0,0.581560284,376230,3
41,0.04870084419399576,1.3333333333333333,774919.7798412499,15493.0,0.728706625,326846,0
8,0.03524836689002734,1.3333333333333333,285564.85499340284,4062.6666666666665,0.788571429,90456,0
2,0.26807312372293046,11.0,285564.85499340284,4062.6666666666665,1.011904762,0,0
2,0.27599925730721614,4.333333333333333,1069916.9683934026,11820.666666666666,0.923076923,0,0
1,0.19337144420631508,2.6666666666666665,134177.54798575,3071.2,0.913043478,23418,0
39,0.013044635637666512,6.0,187660.79538483336,4188.4,0.422619048,121002,3
19,0.048923873484750476,4.666666666666667,187660.79538483336,4188.4,0.891373802,72576,0
3,0.4744032991255773,4.333333333333333,187660.79538483336,4188.4,0.954545455,0,1
2,0.46755685881723463,4.666666666666667,321838.3433705834,7259.599999999999,1.333333333,0,2
1,0.2851016171659954,3.333333333333333,187660.79538483336,4188.4,0.912751678,34676,0
56,0.01993613532179392,2.0,1333055.33201375,4562.0,0.65974026,310366,0
20,0.0004178879419190429,4.333333333333333,1333055.33201375,4562.0,0.5,356516,3
32,0.13551314613131382,1.3333333333333333,833160.0595833333,36856.0,1.036050157,237806,0
54,0.12294609261925785,0.0,1123116.0339741667,55297.0,0.649446494,440384,3
20,0.05571884907363333,0.3333333333333333,492470.4968579167,7621.0,0.974440895,217330,0
64,0.2801559110055305,1.3333333333333333,1081949.53574875,32150.0,0.644688645,689050,0
8,0.03344855485944166,5.0,257255.99975125003,8165.0,0.716216216,37992,0
98,0.629143793851045,4.0,2238788.2148516667,24471.0,0.845386534,888328,1
169,0.24760069589410488,4.0,7665363.835778333,72924.0,0.835429769,2187268,0
94,0.29227271509591507,4.333333333333333,7295605.502902501,91443.0,1.206268222,2426798,0
83,0.018271517735370838,2.6666666666666665,2059819.8259604168,139512.0,0.960737656,602602,0
36,0.2929851871901985,2.6666666666666665,1118377.2103766666,12735.0,1.453551913,378962,2
76,0.31862490054143705,11.333333333333334,4038266.7660348606,47619.66666666666,1.137440758,1325118,0
191,0.03583635861123608,8.0,4726831.001240625,111670.0,1.227155013,1126444,0
45,0.6303252884041289,0.6666666666666666,2256882.010123194,52823.66666666667,1.41509434,724596,1
