field_1,버스정류장수,자전거도로길이,자전거도로수,지하철역수,공원율,사고 다발 횟수,도로길이,도로수,평균경사도,추정교통량,안정성지수평균,직장인구,생활인구,자전거이용량,자전거도로수용율,cluster
130,9,2439.16496831166,22,1,0.078902653503986,0.0,12530.7825180319,110,9.333333333333334,7106.696969696969,0.333333333,600643.6272727273,27509.63766747475,47808,0.19465384263127072,3
133,3,347.481703743004,9,0,0.7599999999999999,0.0,2843.97442271418,46,2.333333333333333,1411.1,0.407407407,565391.66,13198.58302425,61934,0.12218172602669922,3
137,3,178.548478810554,3,0,2.73,0.0,1882.72743778666,21,0.3333333333333333,1387.5,0.288135593,208358.04,6305.859151541667,35122,0.09483501181692881,3
140,0,6.2977754664827,1,0,0.7599999999999999,0.0,2242.8420778545,27,1.6666666666666667,1411.1,0.289473684,565391.66,13198.58302425,0,0.0028079442278464584,3
162,23,572.689335657077,6,0,0.0,0.0,18130.5917208314,211,12.666666666666666,9043.5,0.5,87571.5,33817.816159166665,38708,0.031586908164672724,3
163,3,1549.16046366985,6,1,0.0,0.0,1629.22814708849,8,5.666666666666667,9043.5,1.45,87571.5,33817.816159166665,7864,0.9508554504403053,2
166,3,713.362427008936,6,0,0.44,0.0,1096.74028232691,12,1.3333333333333333,4485.25,0.354166667,822350.9999999999,19522.69154302084,29792,0.6504387944021018,2
172,8,125.995809797071,1,0,3.3000000000000003,0.0,7092.60473718269,87,6.0,2883.5,0.72,154686.44999999998,28434.270743229165,0,0.017764391851211325,0
176,4,263.070262883431,5,0,0.37,0.0,1354.28817501707,12,9.333333333333334,4690.4,2.6,106375.8,16165.760731,25150,0.19424984116110675,1
178,8,619.125673612641,11,0,0.37,0.0,4347.26729462275,36,9.0,4690.4,1.389240506,106375.8,16165.760731,71738,0.1424172087091249,1
182,5,439.639050756622,4,0,3.3000000000000003,0.0,3593.99046636368,20,1.0,2883.5,0.714285714,154686.44999999998,28434.270743229165,54358,0.12232615942396728,0
184,6,233.309312458683,4,2,0.61,0.0,4599.67986809785,54,3.333333333333333,2856.6,0.476190476,1170412.94,57641.62674774999,118946,0.05072294575908511,3
186,1,421.810172372846,3,0,0.61,0.0,1227.44466311084,30,2.333333333333333,2856.6,0.539473684,1170412.94,57641.62674774999,0,0.3436490336792934,2
188,21,358.240025921314,3,1,0.61,0.0,14681.1211590897,124,2.0,2856.6,0.659517426,1170412.94,57641.62674774999,172924,0.024401407906065303,0
189,32,12292.7253409178,109,0,0.3288069297212407,0.0,24356.6679555691,81,2.0,62787.0,0.538461538,1470642.7000000002,153530.26133083334,233758,0.5046965111706544,2
191,39,6016.80651225622,47,2,0.0,0.0,53170.1959053988,424,9.0,24615.0,0.489391796,4535066.5,174839.65408291668,127214,0.11316126280522666,3
192,5,243.458316365199,5,0,5.15,0.0,7733.70425632359,93,7.0,6505.75,0.474576271,395676.75000000006,18986.56574083333,14960,0.031480168919846056,3
193,11,4826.99899461605,48,1,5.15,0.0,9388.35660481574,59,2.333333333333333,6505.75,0.359375,395676.75000000006,18986.56574083333,78130,0.5141473846594248,2
195,9,2946.77369887162,18,0,5.15,0.0,3462.69298521727,11,3.0,6505.75,0.213114754,395676.75000000006,18986.56574083333,31324,0.8510063443255921,2
196,12,588.547716832817,10,0,0.0,0.0,23465.6784426859,358,4.666666666666667,14518.0,0.156028369,126158.9,60470.47866750001,21000,0.025081214603290682,3
197,6,509.754805975442,3,0,2.0900000000000003,0.0,1732.72714324329,16,5.0,2311.75,0.532544379,169198.875,40541.29817010416,185788,0.29419219752123893,2
198,26,300.243147103356,3,1,7.080222909653353,1.0,11122.0781061937,150,4.0,6874.75,0.823275862,304081.275,126205.78344093748,96706,0.026995238141346592,0
199,3,306.274834996687,2,0,2.0900000000000003,0.0,6095.73479872653,86,3.333333333333333,2311.75,1.375,169198.875,40541.29817010416,91028,0.050244120702342784,1
201,28,2672.47451193391,23,1,0.31,0.0,28685.1806591256,301,8.666666666666666,16131.0,1.532894737,738105.8,112583.47902583332,270106,0.09316568522582121,1
202,25,1416.12290976186,20,1,0.4499999999999999,0.5,9408.27983604528,122,9.666666666666666,8206.0,1.974358974,142471.8,72443.12271000001,77564,0.15051879136676696,1
203,67,609.92259822631,11,5,0.5536784243287604,0.5,26717.6246550451,234,5.333333333333333,27384.0,1.658659924,505114.0,287681.43048166664,376518,0.02282847394186811,1
204,32,1518.3216219978,18,1,0.43,0.0,8280.5609135888,64,8.0,7996.0,0.877358491,196459.5,56475.52160125001,118832,0.18335975519558836,0
